title,line_text
Kamień,Ja tylko jestem kamieniem
Kamień,"I jako niemowlę tu,"
Kamień,"Objęty matki ramieniem,"
Kamień,Cichego używam snu.
Kamień,Ledwie świt ducha półsenny
Kamień,Mnie z łona martwości zwie
Kamień,I w mojej piersi kamiennej
Kamień,Poczuciem istnienia tchnie.
Kamień,Jeszczem związany łańcuchem
Kamień,W szeregu bezwiednych brył
Kamień,"Z ogólnym natury duchem,"
Kamień,Z kolebką bezwiednych sił.
Kamień,"Jednak przeczuwam powoli,"
Kamień,"Że zacznie pierś moja bić,"
Kamień,"I marzę o ludzkiej doli,"
Kamień,"Chcę kochać, cierpieć i żyć!"
Kamień,"I wierzę, iż ten, co kruszy"
Kamień,"Dziś moję powłokę, grom"
Kamień,Otworzy dla mojej duszy
Kamień,Wspanialszy cielesny dom.
Kamień,I witam z dreszczem rozkoszy
Kamień,Każdy zadany mi gwałt -
Kamień,"W niszczeniu, co mnie rozproszy,"
Kamień,Zgadując przyszłości kształt.
Kamień,"Tam, gdzie się boleść zaczyna,"
Kamień,Bezwiednej martwości kres!
Kamień,"A nad nią boska kraina,"
Kamień,Gdzie miłość wykwita z łez.
Kamień,Przez wszystkie śmierci ogniwa
Kamień,Postępu ciągnie się nić -
Kamień,Ból samowiedzę zdobywa:
Kamień,"Chcę cierpieć, kochać i żyć!"
Jednego serca! tak maÅ‚o! tak maÅ‚o,"Jednego serca! tak maÅ‚o! tak maÅ‚o,"
Jednego serca! tak maÅ‚o! tak maÅ‚o,Jednego serca trzeba mi na ziemi!
Jednego serca! tak maÅ‚o! tak maÅ‚o,Coby przy mojem miÅ‚oÅ›ciÄ… zadrÅ¼aÅ‚o:
Jednego serca! tak maÅ‚o! tak maÅ‚o,A byÅ‚bym cichym pomiÄ™dzy cichemi...
Jednego serca! tak maÅ‚o! tak maÅ‚o,Jedynych ust trzeba! skÄ…d bym wiecznoÅ›Ä‡ caÅ‚Ä…
Jednego serca! tak maÅ‚o! tak maÅ‚o,"PiÅ‚ napÃ³j szczÄ™Å›cia ustami mojemi,"
